epoch,acc,loss,precision,recall,val_acc,val_loss,val_precision,val_recall
0,0.8337138,3.7874804910334614,0.8485691,0.8528928,0.9104355,3.02152863524444,0.0,0.0
1,0.9428363,2.2033746991677,0.94130015,0.95677185,0.9416598,2.1277065759030345,0.0,0.0
2,0.9669437,1.6403650980149869,0.965052,0.97583824,0.9687757,1.6802052931405524,0.0,0.0
3,0.9450278,1.5979483345961116,0.9500821,0.95101905,0.9227609,3.016136292463066,0.0,0.0
4,0.9807324,1.3578843976817558,0.98084164,0.98454964,0.9852095,1.1949641712395598,0.0,0.0
5,0.99278605,0.9128199565270189,0.99197114,0.995069,0.9441249,1.1142469260569174,0.0,0.0
6,0.9429276,1.5410964107112834,0.94723904,0.9501972,0.9654889,1.111589218420187,0.0,0.0
7,0.99625605,0.7215137598765146,0.99589694,0.9973701,0.9211175,0.9625965491022942,0.0,0.0
8,0.94210577,1.494386774080005,0.94760185,0.94822484,0.92769104,1.0814119412846122,0.0,0.0
9,0.9972605,0.6041817357905672,0.9970443,0.9980276,0.97452754,0.7509687589932977,0.0,0.0
10,0.99223816,0.5430086347656418,0.9943959,0.9916174,0.09942482,6.493664117748853,0.0,0.0
11,0.911241,2.240869559753802,0.92289877,0.916831,0.9613804,0.8028734936122534,0.0,0.0
12,0.99899554,0.46870004467556614,0.99885,0.99934256,0.9769926,0.5778997341138766,0.0,0.0
13,0.9989042,0.4076888672174052,0.99819493,0.9998356,0.9909614,0.5306542311032091,0.0,0.0
14,0.99899554,0.38563991296172695,0.9985224,0.9996713,0.9769926,0.5281654687915166,0.0,0.0
15,0.95306367,1.1967501958617663,0.9585117,0.95693624,0.925226,8.1963087370284,0.0,0.0
16,0.9324263,1.842080245762805,0.93404806,0.9451019,0.97041905,0.6009802926047081,0.0,0.0
17,0.998539,0.3623929555373,0.99786675,0.9995069,0.9802794,0.47967336720487774,0.0,0.0
18,0.99397314,0.3945726669386591,0.994251,0.9949047,0.96220213,1.1128320522551274,0.0,0.0
19,0.9834718,0.6025743294977051,0.9826656,0.98767257,0.938373,0.7515384580820628,0.0,0.0
20,0.99817365,0.35161200308623397,0.99819255,0.99852073,0.99506986,0.46229496972915474,0.0,0.0
21,0.9401881,1.2678662477269171,0.9453651,0.9470743,0.97041905,0.521809510452001,0.0,0.0
22,0.9992695,0.31537832911510294,0.99917847,0.9995069,0.98192275,0.42319994386141674,0.0,0.0
23,0.9550726,1.0565909873012125,0.95986843,0.95923734,0.82333606,4.030537691876451,0.0,0.0
24,0.9716921,1.0299716969650419,0.97096246,0.97830373,0.9917831,0.5426602176005662,0.0,0.0
25,0.9989042,0.3501449022817999,0.99852216,0.9995069,0.9926048,0.4496660890790803,0.0,0.0
